_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points,our_nutrition_score,our_nutrition_label
3251491787810.0,https://images.openfoodfacts.org/images/products/325/149/178/7810/front_en.127.400.jpg,Gerblé,Biscuits and cakes,1817.0,21.0,0.0,1.3,9.4,6.4,21.95,0.0,0.0,b,10.0,10.0,5,6,10,9,0,10,10,0.5500000000000007,b
3175680011480.0,https://images.openfoodfacts.org/images/products/317/568/001/1480/front_en.221.400.jpg,Gerblé,Biscuits and cakes,1961.0,17.0,0.38,2.0,10.0,4.6,13.8,0.152,1.0,b,10.0,9.0,5,7,10,9,0,8,10,1.049999999999999,b
3175681116832.0,https://images.openfoodfacts.org/images/products/317/568/111/6832/front_en.91.400.jpg,Gerblé,Biscuits and cakes,1791.0,0.0,0.2,1.5,6.2,4.1,9.165625,0.08,-1.0,a,6.0,7.0,5,10,10,9,0,8,6,1.549999999999999,b
3175681105423.0,https://images.openfoodfacts.org/images/products/317/568/110/5423/front_en.80.400.jpg,Gerblé,Biscuits and cakes,1727.0,0.0,0.2,3.3,8.0,8.9,19.0,0.08,-1.0,a,8.0,9.0,5,10,10,7,0,10,8,1.3499999999999996,b
3251491787803.0,https://images.openfoodfacts.org/images/products/325/149/178/7803/front_en.151.400.jpg,Gerblé,Biscuits and cakes,1870.0,20.0,0.03,1.4,9.5,6.1,14.725,0.012,0.0,b,10.0,10.0,5,6,10,9,0,10,10,0.5500000000000007,b
3178530410143.0,https://images.openfoodfacts.org/images/products/317/853/041/0143/front_en.121.400.jpg,St Michel,Biscuits and cakes,1894.0,30.0,0.76,3.5,5.5,1.2,18.4833333333333,0.304,16.0,d,9.0,10.0,5,4,10,7,0,2,6,4.750000000000002,d
5000159461122.0,https://images.openfoodfacts.org/images/products/500/015/946/1122/front_en.185.400.jpg,"Mars,Snickers",Biscuits and cakes,2044.0,52.0,0.64,7.8,8.7,1.3,0.0,0.256,24.0,e,4.0,9.0,4,0,10,3,0,2,10,6.450000000000001,e
3175680011442.0,https://images.openfoodfacts.org/images/products/317/568/001/1442/front_en.142.400.jpg,Gerblé,Biscuits and cakes,1866.0,18.0,0.36,1.4,11.0,4.9,15.7,0.144,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3560071177294.0,https://images.openfoodfacts.org/images/products/356/007/117/7294/front_fr.49.400.jpg,Carrefour,Biscuits and cakes,1601.0,30.0,0.45,0.7,5.0,4.5,0.0,0.18,7.0,c,8.0,8.0,6,4,10,10,0,8,6,1.2499999999999982,b
3175681116863.0,https://images.openfoodfacts.org/images/products/317/568/111/6863/front_fr.73.400.jpg,Gerblé,Biscuits and cakes,1850.0,0.0,0.32,1.7,8.1,5.4,17.075,0.128,-3.0,a,7.0,10.0,5,10,10,9,0,10,10,0.15000000000000036,b
3560071011475.0,https://images.openfoodfacts.org/images/products/356/007/101/1475/front_fr.117.400.jpg,Carrefour,Biscuits and cakes,1586.0,30.0,0.5,0.9,5.7,4.0,17.2,0.2,8.0,c,11.0,11.0,6,4,10,10,0,8,6,1.2499999999999982,b
3175681257542.0,https://images.openfoodfacts.org/images/products/317/568/125/7542/front_fr.85.400.jpg,Gerblé,Biscuits and cakes,1878.0,18.0,0.29,1.4,7.8,6.0,5.3,0.116,1.0,b,10.0,9.0,5,7,10,9,0,10,8,0.8499999999999996,b
3229820794532.0,https://images.openfoodfacts.org/images/products/322/982/079/4532/front_en.194.400.jpg,Bjorg,Biscuits and cakes,1856.0,16.0,0.37,1.4,8.9,7.7,8.25,0.148,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3229820021027.0,https://images.openfoodfacts.org/images/products/322/982/002/1027/front_fr.216.400.jpg,Bjorg,Biscuits and cakes,1750.0,20.0,0.45,0.8,7.6,7.6,0.0,0.18,1.0,b,10.0,9.0,5,6,10,10,0,10,8,0.5500000000000007,b
3175681851863.0,https://images.openfoodfacts.org/images/products/317/568/185/1863/front_en.132.400.jpg,Gerblé,Biscuits and cakes,1878.0,17.0,0.36,1.7,12.0,5.6,20.7,0.144,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3029330022411.0,https://images.openfoodfacts.org/images/products/302/933/002/2411/front_fr.111.400.jpg,Jacquet,Bread,1076.0,3.9,1.1,0.3,8.7,3.5,7.51666666666667,0.44,-1.0,a,7.0,8.0,7,10,10,10,0,6,10,-0.05000000000000071,a
3760049794298.0,https://images.openfoodfacts.org/images/products/376/004/979/4298/front_fr.170.400.jpg,La Boulangère,Bread,1298.0,5.5,1.3,0.7,8.8,4.4,0.0,0.52,0.0,b,9.0,9.0,7,9,10,10,0,8,10,-0.5500000000000007,a
4056489039532.0,https://images.openfoodfacts.org/images/products/405/648/903/9532/front_fr.22.400.jpg,Maître Jean Pierre,Bread,1719.0,8.6,1.0,0.7,9.5,3.5,1.875,0.4,2.0,b,10.0,8.0,5,9,10,10,0,6,10,1.0500000000000007,b
3029330004233.0,https://images.openfoodfacts.org/images/products/302/933/000/4233/front_fr.57.400.jpg,Jacquet,Bread,871.0,4.9,1.0,0.3,6.8,10.0,0.0,0.4,-2.0,a,7.0,9.0,8,9,10,10,0,10,8,-1.25,a
3029330004240.0,https://images.openfoodfacts.org/images/products/302/933/000/4240/front_fr.54.400.jpg,Jacquet,Bread,947.0,3.8,1.2,0.3,7.1,8.7,0.4765625,0.48,-2.0,a,7.0,9.0,8,10,10,10,0,10,8,-1.3500000000000014,a
3182180060009.0,https://images.openfoodfacts.org/images/products/318/218/006/0009/front_fr.4.400.jpg,Pasquier,Bread,1602.0,3.4,1.5,0.6,13.0,8.7,0.0,0.6,0.0,b,10.0,10.0,6,10,10,10,0,10,10,-0.75,a
7300400481595.0,https://images.openfoodfacts.org/images/products/730/040/048/1595/front_fr.207.400.jpg,Wasa,Bread,1415.0,1.0,1.0,0.4,9.0,19.0,0.0,0.4,-2.0,a,8.0,10.0,6,10,10,10,0,10,10,-0.75,a
3245412694516.0,https://images.openfoodfacts.org/images/products/324/541/269/4516/front_fr.96.400.jpg,Carrefour,Bread,875.0,6.0,0.93,0.3,12.0,6.0,0.0,0.372,-3.0,a,7.0,10.0,8,9,10,10,0,10,10,-1.6499999999999986,a
4056489039518.0,https://images.openfoodfacts.org/images/products/405/648/903/9518/front_fr.47.400.jpg,Maître Jean Pierre,Bread,1717.0,4.2,1.0,0.9,10.0,6.9,5.83333333333333,0.4,-1.0,a,9.0,10.0,5,10,10,10,0,10,10,-0.25,a
8710482532303.0,https://images.openfoodfacts.org/images/products/871/048/253/2303/front_es.79.400.jpg,Bachman,Bread,1824.0,3.4,1.0,1.4,14.0,14.0,6.25,0.4,0.0,b,10.0,10.0,5,10,10,9,0,10,10,0.15000000000000036,b
6410500090014.0,https://images.openfoodfacts.org/images/products/641/050/009/0014/front_en.171.400.jpg,Lantmännen,Bread,1450.0,1.6,1.4,0.5,10.0,20.0,0.0,0.56,0.0,b,10.0,10.0,6,10,10,10,0,10,10,-0.75,a
7300400481588.0,https://images.openfoodfacts.org/images/products/730/040/048/1588/front_fr.237.400.jpg,Wasa,Bread,1396.0,2.0,1.2,1.0,13.0,26.0,0.0,0.48,-1.0,a,9.0,10.0,6,10,10,10,0,10,10,-0.75,a
3760049791006.0,https://images.openfoodfacts.org/images/products/376/004/979/1006/front_fr.112.400.jpg,La Boulangère,Bread,1170.0,3.6,1.3,0.5,9.2,3.9,10.2142857142857,0.52,-1.0,a,8.0,9.0,7,10,10,10,0,8,10,-0.6499999999999986,a
3182180001996.0,https://images.openfoodfacts.org/images/products/318/218/000/1996/front_fr.28.400.jpg,Pasquier,Bread,1617.0,3.4,1.1,0.7,14.0,12.0,0.0,0.44,-2.0,a,8.0,10.0,6,10,10,10,0,10,10,-0.75,a
3228850000071.0,https://images.openfoodfacts.org/images/products/322/885/000/0071/front_fr.49.400.jpg,"Harrys,Barilla",Bread,1225.0,4.7,1.4,0.5,8.6,4.0,8.35454545454545,0.56,1.0,b,8.0,9.0,7,9,10,10,0,8,10,-0.5500000000000007,a
3284230011884.0,https://images.openfoodfacts.org/images/products/328/423/001/1884/front_fr.137.400.jpg,La Boulangère Bio,Pastries,1453.0,8.7,0.9,1.2,9.4,2.4,0.0,0.36,2.0,b,9.0,7.0,6,9,10,9,0,4,10,1.5500000000000007,b
3228857001378.0,https://images.openfoodfacts.org/images/products/322/885/700/1378/front_fr.93.400.jpg,Harrys,Pastries,1354.0,9.3,0.9,1.1,8.4,7.2,8.859375,0.36,0.0,b,10.0,10.0,6,8,10,9,0,10,10,-0.15000000000000036,a
3179142054633.0,https://images.openfoodfacts.org/images/products/317/914/205/4633/front_en.51.400.jpg,Vahiné,Nuts,2535.0,4.6,0.05,4.0,21.0,9.9,100.0,0.02,6.0,c,11.0,5.0,3,9,10,7,10,10,10,2.5500000000000007,c
3229820763729.0,https://images.openfoodfacts.org/images/products/322/982/076/3729/front_fr.71.400.jpg,Bjorg,Nuts,357.0,1.5,0.1,0.8,1.2,0.0,7.0,0.04,1.0,b,1.0,0.0,9,10,10,10,0,0,0,2.75,c
3270720005709.0,https://images.openfoodfacts.org/images/products/327/072/000/5709/front_en.7.400.jpg,Daco Bello,Nuts,2625.0,3.5,0.02,4.4,27.0,11.0,100.0,0.008,-4.0,a,11.0,15.0,3,10,10,6,10,10,10,2.8499999999999996,c
8480000348654.0,https://images.openfoodfacts.org/images/products/848/000/034/8654/front_es.26.400.jpg,Hacendado,Nuts,2494.0,5.4,0.0,3.9,25.0,11.0,100.0,0.0,-4.0,a,11.0,15.0,3,9,10,7,10,10,10,2.5500000000000007,c
20052713.0,https://images.openfoodfacts.org/images/products/20052713/front_en.20.400.jpg,"Belbake, 10 x Aldi 08.24 / 6x Aldi 11.23",Nuts,2665.0,4.4,0.02,4.9,24.2,11.2,100.0,0.008,-4.0,a,11.0,15.0,3,10,10,6,10,10,10,2.8499999999999996,c
8480000137388.0,https://images.openfoodfacts.org/images/products/848/000/013/7388/front_es.57.400.jpg,Hacendado,Nuts,1746.0,10.0,0.0,1.7,46.7,13.3,0.0,0.0,-2.0,a,8.0,10.0,5,8,10,9,0,10,10,0.34999999999999964,b
3336971608059.0,https://images.openfoodfacts.org/images/products/333/697/160/8059/front_fr.67.400.jpg,"Vico,Intersnack,Natur'& Bon",Nuts,2534.0,3.9,0.0,4.3,26.0,8.3,100.0,0.0,-4.0,a,11.0,15.0,3,10,10,6,10,10,10,2.8499999999999996,c
5411188114581.0,https://images.openfoodfacts.org/images/products/541/118/811/4581/front_fr.92.400.jpg,Provamel,Plant-based milk substitutes,118.0,0.0,0.09,0.2,1.0,0.6,5.0,0.036,0.0,b,0.0,0.0,10,10,10,10,0,0,0,2.25,c
3250391435401.0,https://images.openfoodfacts.org/images/products/325/039/143/5401/front_fr.50.400.jpg,"Paquito,Intermarché",Dried fruits,844.0,29.0,0.03,0.1,2.1,6.2,66.6666666666667,0.012,0.0,b,11.0,2.0,8,4,10,10,4,10,2,0.6499999999999986,b
4056489167037.0,https://images.openfoodfacts.org/images/products/405/648/916/7037/front_en.40.400.jpg,Alesto,Dried fruits,1395.0,71.3,0.02,0.1,0.4,5.5,66.5,0.008,7.0,c,9.0,0.0,6,0,10,10,4,10,0,2.4499999999999993,c
3068233500404.0,https://images.openfoodfacts.org/images/products/306/823/350/0404/front_fr.51.400.jpg,"La Favorite,Color Foods",Dried fruits,1249.0,64.0,0.025,0.5,2.3,7.0,75.0,0.01,6.0,c,2.0,6.0,7,0,10,10,4,10,2,1.549999999999999,b
4056489104254.0,https://images.openfoodfacts.org/images/products/405/648/910/4254/front_en.4.400.jpg,"Belbake,Lidl,August Töpfer & Co.",Dried fruits,2679.0,6.6,0.05,61.6,7.4,14.8,100.0,0.02,4.0,c,0.0,1.0,3,9,10,0,10,10,8,5.75,d
3502490171606.0,https://images.openfoodfacts.org/images/products/350/249/017/1606/front_fr.132.400.jpg,Maître PRUNILLE,Dried fruits,980.0,35.0,0.02,0.1,1.6,7.9,100.0,0.008,-1.0,a,4.0,7.0,8,3,10,10,10,10,0,1.4499999999999993,b
3256223800218.0,https://images.openfoodfacts.org/images/products/325/622/380/0218/front_fr.55.400.jpg,U,Dried fruits,813.0,38.1,0.01,0.1,1.5,5.2,100.0,0.004,0.0,b,3.0,8.0,8,2,10,10,10,10,0,1.5500000000000007,b
3191220006327.0,https://images.openfoodfacts.org/images/products/319/122/000/6327/front_fr.40.400.jpg,Brousse & Fils,Dried fruits,1151.0,59.5,0.0,0.1,1.8,10.2,100.0,0.0,2.0,b,11.0,2.0,7,0,10,10,10,10,2,1.8499999999999996,b
3609200003087.0,https://images.openfoodfacts.org/images/products/360/920/000/3087/front_fr.33.400.jpg,Nature addicts,Dried fruits,1360.0,68.0,0.1,0.2,1.4,7.0,94.53125,0.04,4.0,c,0.0,5.0,6,0,10,10,10,10,0,2.75,c
3270190022671.0,https://images.openfoodfacts.org/images/products/327/019/002/2671/front_fr.31.400.jpg,Carrefour,Dried fruits,1226.0,49.0,0.18,0.3,3.3,11.0,100.0,0.072,1.0,b,11.0,7.0,7,0,10,10,10,10,4,1.4499999999999993,b
8480000346056.0,https://images.openfoodfacts.org/images/products/848/000/034/6056/front_es.39.400.jpg,Hacendado,Dried fruits,1447.0,68.0,0.0,0.3,1.0,6.6,33.3333333333333,0.0,9.0,c,2.0,5.0,6,0,10,10,0,10,0,2.25,c
3560070769131.0,https://images.openfoodfacts.org/images/products/356/007/076/9131/front_fr.59.400.jpg,Carrefour,Dried fruits,2575.0,3.4,0.02,4.0,26.0,12.0,100.0,0.008,-5.0,a,10.0,15.0,3,10,10,7,10,10,10,2.4499999999999993,c
3242272921059.0,https://images.openfoodfacts.org/images/products/324/227/292/1059/front_fr.69.400.jpg,Sodebo,Sandwiches,1093.0,2.9,1.2,1.6,10.0,2.9,13.8938210227273,0.48,1.0,b,8.0,5.0,7,10,10,9,0,6,10,0.3500000000000014,b
3242272907350.0,https://images.openfoodfacts.org/images/products/324/227/290/7350/front_fr.36.400.jpg,Sodebo,Sandwiches,1002.0,2.3,1.1,1.0,9.7,3.3,16.9671474358974,0.44,-2.0,a,8.0,9.0,8,10,10,10,0,6,10,-0.5500000000000007,a
4056489040477.0,https://images.openfoodfacts.org/images/products/405/648/904/0477/front_fr.13.400.jpg,"Select & Go, Toque du Chef",Sandwiches,796.0,3.1,1.05,0.5,9.6,3.7,26.1363636363636,0.42,-2.0,a,6.0,7.0,8,10,10,10,0,6,10,-0.5500000000000007,a
3242272922056.0,https://images.openfoodfacts.org/images/products/324/227/292/2056/front_fr.61.400.jpg,Sodebo,Sandwiches,1042.0,2.9,1.0,1.2,9.4,2.4,21.1182349396635,0.4,1.0,b,7.0,8.0,7,10,10,9,0,4,10,0.9500000000000011,b
8480000590329.0,https://images.openfoodfacts.org/images/products/848/000/059/0329/front_es.118.400.jpg,Hacendado,Sandwiches,1045.0,1.7,1.5,4.3,14.2,0.0,0.0,0.6,13.0,d,8.0,8.0,7,10,10,6,0,0,10,3.3499999999999996,c
3560070953028.0,https://images.openfoodfacts.org/images/products/356/007/095/3028/front_fr.30.400.jpg,"Bon App',Carrefour",Sandwiches,930.0,3.3,1.0,0.8,9.1,2.9,27.6125,0.4,-2.0,a,11.0,4.0,8,10,10,10,0,6,10,-0.5500000000000007,a
3242272891352.0,https://images.openfoodfacts.org/images/products/324/227/289/1352/front_fr.47.400.jpg,Sodebo,Sandwiches,1160.0,7.1,1.3,1.5,9.2,4.1,18.2639797150143,0.52,1.0,b,8.0,4.0,7,9,10,9,0,8,10,-0.15000000000000036,a
3560070953080.0,https://images.openfoodfacts.org/images/products/356/007/095/3080/front_fr.34.400.jpg,"Bon App',Carrefour",Sandwiches,784.0,2.7,1.2,0.6,9.0,3.2,0.0,0.48,-1.0,a,9.0,8.0,8,10,10,10,0,6,10,-0.5500000000000007,a
3560070998661.0,https://images.openfoodfacts.org/images/products/356/007/099/8661/front_fr.70.400.jpg,"Carrefour Veggie,Carrefour",Sandwiches,672.0,0.9,0.7,2.1,17.0,3.8,38.75,0.28,-2.0,a,9.0,5.0,8,10,10,8,0,8,10,-0.34999999999999787,a
3560070953325.0,https://images.openfoodfacts.org/images/products/356/007/095/3325/front_fr.44.400.jpg,"Bon app',Carrefour",Sandwiches,834.0,3.7,1.2,0.5,8.1,3.7,28.94,0.48,-1.0,a,8.0,10.0,8,10,10,10,0,6,10,-0.5500000000000007,a
8710438105735.0,https://images.openfoodfacts.org/images/products/871/043/810/5735/front_fr.40.400.jpg,MCCAIN,Sandwiches,1155.0,5.1,1.4,7.3,11.0,2.3,12.4913194444444,0.56,15.0,d,6.0,5.0,7,9,10,3,0,4,10,3.4499999999999993,c
4061458284547.0,https://images.openfoodfacts.org/images/products/406/145/828/4547/front_de.3.400.jpg,Mein veggie Tag,Sandwiches,842.0,0.4,1.37,2.5,14.6,6.5,0.0,0.548,0.0,b,8.0,5.0,8,10,10,8,0,10,10,-0.9499999999999993,a
3242272890751.0,https://images.openfoodfacts.org/images/products/324/227/289/0751/front_fr.61.400.jpg,Sodebo,Sandwiches,1275.0,7.0,1.0,2.5,8.7,3.3,19.3717447916667,0.4,2.0,b,10.0,8.0,7,9,10,8,0,6,10,0.8499999999999979,b
3175681262270.0,https://images.openfoodfacts.org/images/products/317/568/126/2270/front_fr.40.400.jpg,Céréal Bio,Sandwiches,937.0,3.0,1.5,1.2,17.0,4.6,23.7914341517857,0.6,0.0,b,10.0,9.0,8,10,10,9,0,8,10,-0.75,a
3181232138307.0,https://images.openfoodfacts.org/images/products/318/123/213/8307/front_fr.61.400.jpg,Charal,Sandwiches,1086.0,4.5,1.28,4.7,14.0,3.7,4.0,0.512,9.0,c,7.0,9.0,7,10,10,6,0,6,10,1.5500000000000007,b
20330750.0,https://images.openfoodfacts.org/images/products/20330750/front_en.117.400.jpg,"Vemondo,Lidl",unknown,681.0,4.0,1.5,0.7,18.8,7.7,6.33703882553998,0.6,-2.0,a,6.0,4.0,8,10,10,10,0,10,10,-1.75,a
7613036092487.0,https://images.openfoodfacts.org/images/products/761/303/609/2487/front_en.119.400.jpg,"Garden gourmet, Nestlé",unknown,798.0,3.2,1.3,0.7,21.0,6.4,20.6254842122396,0.52,-3.0,a,11.0,5.0,8,10,10,10,0,10,10,-1.75,a
4000405005316.0,https://images.openfoodfacts.org/images/products/400/040/500/5316/front_de.99.400.jpg,Rügenwalder Mühle,unknown,556.0,1.4,2.7,0.7,6.4,3.2,23.0769230769231,1.08,8.0,c,8.0,9.0,9,10,10,10,0,6,6,-0.25,a
3175681028098.0,https://images.openfoodfacts.org/images/products/317/568/102/8098/front_fr.111.400.jpg,Céréal Bio,unknown,780.0,3.8,0.95,0.6,5.0,6.2,20.1,0.38,-2.0,a,8.0,10.0,8,10,10,10,0,10,6,-0.9499999999999993,a
3175681190078.0,https://images.openfoodfacts.org/images/products/317/568/119/0078/front_fr.53.400.jpg,Céréal BIO,unknown,581.0,2.6,0.6,0.7,15.0,5.6,26.4625,0.24,-7.0,a,10.0,6.0,9,10,10,10,0,10,10,-2.25,a
